"","unlist(as_list(l))"
"1","http://tv.interia.pl"
"2","http://www.interia.pl/onas/?txt=opinie"
"3","http://ad.interia.pl/go/?id=285&str=9&msc=1&podstr=main&go=http://www.interia.pl/dzienmatki/"
"4","http://pogoda.interia.pl"
"5","http://www.poczta.fm/kartkifm/"
"6","http://wiadomosci.interia.pl"
"7","http://biznes.interia.pl"
"8","http://motoryzacja.interia.pl"
"9","http://kobieta.interia.pl"
"10","http://komputery.interia.pl"
"11","http://gry.interia.pl"
"12","http://turystyka.interia.pl"
"13","http://rozrywka.interia.pl"
"14","http://katalog.interia.pl"
"15","/l/z"
"16","pomoc2.html"
"17","index.html"
"18","kategorie.html?kl=23"
"19","tresc.html?kk=1401&kl=23"
"20","tresc.html?kk=1407&kl=23"
"21","tresc.html?kk=1402&kl=23"
"22","tresc.html?kk=1408&kl=23"
"23","tresc.html?kk=1403&kl=23"
"24","tresc.html?kk=1409&kl=23"
"25","tresc.html?kk=1404&kl=23"
"26","tresc.html?kk=1410&kl=23"
"27","tresc.html?kk=1405&kl=23"
"28","tresc.html?kk=1411&kl=23"
"29","tresc.html?kk=1406&kl=23"
"30","tresc.html?kk=1412&kl=23"
"31","http://turystyka.interia.pl/"
"32","http://www.sunholiday.turystyka.net/"
"33","http://www.republika.pl/arkadia_a/"
"34","http://www.aupairpl.com.pl/"
"35","http://www.austria.info.pl/"
"36","http://republika.pl/andrzejw2/"
"37","http://www.rospond.com.pl/"
"38","http://www.qdnet.pl/%7Ejonca/index2.htm"
"39","http://www.busko.zdroj.prv.pl/"
"40","http://www.turystyka.biz.pl/"
"41","url.html?kl=23&kp=763&kk=763&nr_paczki=2&nr_strony=0"
"42","url.html?kl=23&kp=763&kk=763&nr_paczki=3&nr_strony=0"
"43","url.html?kl=23&kp=763&kk=763&nr_paczki=4&nr_strony=0"
"44","url.html?kl=23&kp=763&kk=763&nr_paczki=5&nr_strony=0"
"45","url.html?kl=23&kp=763&kk=763&nr_paczki=6&nr_strony=0"
"46","url.html?kl=23&kp=763&kk=763&nr_paczki=7&nr_strony=0"
"47","url.html?kl=23&kp=763&kk=763&nr_paczki=8&nr_strony=0"
"48","url.html?kl=23&kp=763&kk=763&nr_paczki=9&nr_strony=0"
"49","http://biznes.interia.pl/main/info.html?nid=6345"
"50","http://biznes.interia.pl/main/info.html?nid=6331"
"51","http://motoryzacja.interia.pl/id/targi/bangkok"
"52","http://motoryzacja.interia.pl/id/motorelacje/coza/verso"
"53","http://kobieta.interia.pl/id/chwila/chinski"
"54","http://kobieta.interia.pl/id/dom/mieszkanie"
"55","http://gry.interia.pl/id/recenzje&tx=42&co_szukac="
"56","http://gry.interia.pl/id/opisy&tx=2&co_szukac="
"57","http://turystyka.interia.pl/id/powietrze/balony/wiadomosci/www/powietrze/balony/wiadomosci"
"58","http://turystyka.interia.pl/id/prawo/polska/odys/www/prawo/polska/odys"
"59","http://rozrywka.interia.pl/id/wywiady/www/wywiady/wywiad&idw=69"
"60","http://rozrywka.interia.pl/id/crans/index"
"61","http://komputery.interia.pl/id/gt/www/gt1"
"62","http://komputery.interia.pl/id/pr/wi/www/wart&artid=14318"
"63","http://pogoda.interia.pl"
"64","http://rozrywka.interia.pl/id/muzyka/aktualnosci/www/muzyka/muzyka&S=smuzyka"
"65","http://rozrywka.interia.pl/id/film/wydarzenia/www/film/film&S=sfilm"
"66","http://wiadomosci.interia.pl/id/sport/wiadomosci"
"67","http://rozrywka.interia.pl/id/biorytm/www/biorytm/biorytm"
"68","http://rozrywka.interia.pl/id/horoskop/www/horoskop/horoskop_main"
"69","http://www.poczta.fm/kartkifm/"
"70","http://turystyka.interia.pl/id/bazy/bot1"
"71","http://komputery.interia.pl/id/tel/tel_akt/www/akt1"
"72","http://motoryzacja.interia.pl/id/motoporadnik"
"73","http://biznes.interia.pl/pieniadz/waluty/kantory.html"
"74","http://www.interia.pl/wap/"
"75","http://tv.interia.pl"
"76","http://www.interia.pl/onas/?txt=info"
"77","http://www.interia.pl/onas/?txt=kontakt"
"78","http://www.interia.pl/onas/?txt=reklama"
"79","http://www.interia.pl/onas/?txt=prasa"
"80","http://www.interia.pl/onas/?txt=praca"
"81","http://www.interia.pl/onas/?txt=prawa"
"82","http://tv.interia.pl"
"83","http://www.interia.pl/onas/?txt=opinie"
"84","http://ad.interia.pl/go/?id=93&str=9&msc=1&podstr=main&go=http://www.kobieta.interia.pl"
"85","http://pogoda.interia.pl"
"86","http://www.poczta.fm/kartkifm/"
"87","http://wiadomosci.interia.pl"
"88","http://biznes.interia.pl"
"89","http://motoryzacja.interia.pl"
"90","http://kobieta.interia.pl"
"91","http://komputery.interia.pl"
"92","http://gry.interia.pl"
"93","http://turystyka.interia.pl"
"94","http://rozrywka.interia.pl"
"95","http://katalog.interia.pl"
"96","/l/z"
"97","pomoc2.html"
"98","index.html"
"99","kategorie.html?kl=19"
"100","tresc.html?kl=19&kk=833"
"101","http://www.abc.it.pl/"
"102","http://www.wolff.pl/bup/"
"103","http://www.dziennik.com/"
"104","http://www.promedia.com.pl/dg/"
"105","http://www.dziennik.lodz.pl/"
"106","http://www.dziennik.krakow.pl/"
"107","http://www.dw.lublin.pl/"
"108","http://www.dz.com.pl/"
"109","http://www.echo-dnia.com.pl/"
"110","http://www.express.lodz.pl/"
"111","url.html?kl=19&kp=1138&kk=1138&nr_paczki=2&nr_strony=0"
"112","url.html?kl=19&kp=1138&kk=1138&nr_paczki=3&nr_strony=0"
"113","url.html?kl=19&kp=1138&kk=1138&nr_paczki=4&nr_strony=0"
"114","url.html?kl=19&kp=1138&kk=1138&nr_paczki=5&nr_strony=0"
"115","http://biznes.interia.pl/main/info.html?nid=6345"
"116","http://biznes.interia.pl/main/info.html?nid=6331"
"117","http://motoryzacja.interia.pl/id/targi/bangkok"
"118","http://motoryzacja.interia.pl/id/motorelacje/coza/verso"
"119","http://kobieta.interia.pl/id/chwila/chinski"
"120","http://kobieta.interia.pl/id/dom/mieszkanie"
"121","http://gry.interia.pl/id/recenzje&tx=42&co_szukac="
"122","http://gry.interia.pl/id/opisy&tx=2&co_szukac="
"123","http://turystyka.interia.pl/id/powietrze/balony/wiadomosci/www/powietrze/balony/wiadomosci"
"124","http://turystyka.interia.pl/id/prawo/polska/odys/www/prawo/polska/odys"
"125","http://rozrywka.interia.pl/id/wywiady/www/wywiady/wywiad&idw=69"
"126","http://rozrywka.interia.pl/id/crans/index"
"127","http://komputery.interia.pl/id/gt/www/gt1"
"128","http://komputery.interia.pl/id/pr/wi/www/wart&artid=14318"
"129","http://pogoda.interia.pl"
"130","http://rozrywka.interia.pl/id/muzyka/aktualnosci/www/muzyka/muzyka&S=smuzyka"
"131","http://rozrywka.interia.pl/id/film/wydarzenia/www/film/film&S=sfilm"
"132","http://wiadomosci.interia.pl/id/sport/wiadomosci"
"133","http://rozrywka.interia.pl/id/biorytm/www/biorytm/biorytm"
"134","http://rozrywka.interia.pl/id/horoskop/www/horoskop/horoskop_main"
"135","http://www.poczta.fm/kartkifm/"
"136","http://turystyka.interia.pl/id/bazy/bot1"
"137","http://komputery.interia.pl/id/tel/tel_akt/www/akt1"
"138","http://motoryzacja.interia.pl/id/motoporadnik"
"139","http://biznes.interia.pl/pieniadz/waluty/kantory.html"
"140","http://www.interia.pl/wap/"
"141","http://tv.interia.pl"
"142","http://www.interia.pl/onas/?txt=info"
"143","http://www.interia.pl/onas/?txt=kontakt"
"144","http://www.interia.pl/onas/?txt=reklama"
"145","http://www.interia.pl/onas/?txt=prasa"
"146","http://www.interia.pl/onas/?txt=praca"
"147","http://www.interia.pl/onas/?txt=prawa"
"148","http://tv.interia.pl"
"149","http://www.interia.pl/onas/?txt=opinie"
"150","http://ad.interia.pl/go/?id=332&str=9&msc=1&podstr=main&go=http://www.royalpbk.com"
"151","http://pogoda.interia.pl"
"152","http://www.poczta.fm/kartkifm/"
"153","http://wiadomosci.interia.pl"
"154","http://biznes.interia.pl"
"155","http://motoryzacja.interia.pl"
"156","http://kobieta.interia.pl"
"157","http://komputery.interia.pl"
"158","http://gry.interia.pl"
"159","http://turystyka.interia.pl"
"160","http://rozrywka.interia.pl"
"161","http://katalog.interia.pl"
"162","/l/z"
"163","pomoc2.html"
"164","index.html"
"165","kategorie.html?kl=20"
"166","tresc.html?kl=20&kk=844"
"167","http://www.gorzycki.com.pl"
"168","http://www.elmot-rally.com.pl/"
"169","http://300zx.tuning.pl/"
"170","http://www.rajdwisly.pl/"
"171","http://www.tuning.pl/4tech/"
"172","http://www.rajdpolski.pl/"
"173","http://195.116.35.15/luk/rpolski99/"
"174","http://www.alcar.pl/"
"175","http://www.alfaromeo.com.pl/"
"176","http://volvo.alko.com.pl/"
"177","url.html?kl=20&kp=1199&kk=1199&nr_paczki=2&nr_strony=0"
"178","url.html?kl=20&kp=1199&kk=1199&nr_paczki=3&nr_strony=0"
"179","url.html?kl=20&kp=1199&kk=1199&nr_paczki=4&nr_strony=0"
"180","url.html?kl=20&kp=1199&kk=1199&nr_paczki=5&nr_strony=0"
"181","url.html?kl=20&kp=1199&kk=1199&nr_paczki=6&nr_strony=0"
"182","url.html?kl=20&kp=1199&kk=1199&nr_paczki=7&nr_strony=0"
"183","url.html?kl=20&kp=1199&kk=1199&nr_paczki=8&nr_strony=0"
"184","url.html?kl=20&kp=1199&kk=1199&nr_paczki=9&nr_strony=0"
